,FECHA,ESTACION,TIPO_CONTAMINANTE,CANTIDAD_CONTAMINANTE,AQI,longitud,latitud,AQI_CATEGORY
259,2024-01-15,AJM,CO,0.35755952380952377,4.063176406926407,-99.207744,19.272161,GOOD
260,2024-01-15,BJU,CO,0.5243055555555555,5.958017676767676,-99.159596,19.370464,GOOD
261,2024-01-15,CAM,CO,1.5741666666666667,17.888257575757574,-99.169794,19.468404,GOOD
262,2024-01-15,CCA,CO,0.74625,8.480113636363635,-99.176111,19.326111,GOOD
263,2024-01-15,CUA,CO,0.43113095238095234,4.899215367965367,-99.291705,19.365313,GOOD
264,2024-01-15,FAC,CO,0.9230357142857143,10.489042207792208,-99.243524,19.482473,GOOD
265,2024-01-15,HGM,CO,1.0062499999999999,11.434659090909088,-99.152207,19.411617,GOOD
266,2024-01-15,IZT,CO,0.9199999999999999,10.454545454545453,-99.117641,19.384413,GOOD
267,2024-01-15,LPR,CO,0.9167261904761905,10.417343073593074,-99.11772,19.534727,GOOD
268,2024-01-15,MER,CO,1.2455952380952382,14.15449134199134,-99.119594,19.42461,GOOD
269,2024-01-15,MGH,CO,1.0041666666666667,11.41098484848485,-99.20266,19.40405,GOOD
270,2024-01-15,MPA,CO,0.2720833333333333,3.0918560606060606,-98.990189,19.1769,GOOD
271,2024-01-15,PED,CO,0.5842738095238095,6.639475108225107,-99.204136,19.325146,GOOD
272,2024-01-15,SAC,CO,0.9558333333333332,10.861742424242424,-99.009381,19.34561,GOOD
273,2024-01-15,SAG,CO,1.0966666666666667,12.462121212121213,-99.030324,19.532968,GOOD
274,2024-01-15,TAH,CO,0.4063888888888889,4.618055555555555,-99.010564,19.246459,GOOD
275,2024-01-15,TLI,CO,0.787142857142857,8.944805194805195,-99.177173,19.602542,GOOD
276,2024-01-15,UIZ,CO,1.0175,11.5625,-99.07388,19.360794,GOOD
277,2024-01-16,AJM,CO,0.2836111111111111,3.222853535353535,-99.207744,19.272161,GOOD
278,2024-01-16,BJU,CO,0.7451666666666666,8.46780303030303,-99.159596,19.370464,GOOD
279,2024-01-16,CAM,CO,1.2538690476190475,14.248511904761905,-99.169794,19.468404,GOOD
280,2024-01-16,CCA,CO,0.7986309523809524,9.075351731601732,-99.176111,19.326111,GOOD
281,2024-01-16,CUA,CO,0.4486904761904762,5.098755411255412,-99.291705,19.365313,GOOD
